date,value,holdings
2023-08-01,1000000.0,20
2023-09-01,987937.92,20
2023-10-09,989503.4,20
2023-11-01,983331.36,20
2023-12-01,1009515.54,20
2024-01-02,937703.15,20
2024-02-01,760740.4,20
2024-03-01,748265.43,20
2024-04-01,687558.04,20
2024-05-06,432607.88,17
2024-06-03,393713.64,20
2024-07-01,360585.51,19
2024-08-01,323073.18,20
2024-09-02,352184.19,20
2024-10-08,380385.45,19
2024-11-01,440305.44,20
2024-12-02,475476.11,20
