trade_date,open,high,low,close,volume
2026-01-05,7.741,7.771,7.591,7.651,4254145.0
2026-01-06,7.641,7.641,7.591,7.631,2595770.0
2026-01-07,7.611,7.621,7.531,7.581,3297896.0
2026-01-08,7.571,7.571,7.481,7.521,2919140.0
2026-01-09,7.521,7.551,7.471,7.541,2410930.0
2026-01-12,7.531,7.601,7.481,7.571,2923852.0
2026-01-13,7.581,7.681,7.571,7.641,3651925.0
2026-01-14,7.621,7.621,7.511,7.521,3901383.0
2026-01-15,7.511,7.571,7.491,7.511,2870267.0
2026-01-16,7.501,7.511,7.411,7.441,3406706.0
2026-01-19,7.431,7.461,7.331,7.361,3290640.0
2026-01-20,7.351,7.401,7.331,7.371,3028863.0
2026-01-21,7.361,7.391,7.171,7.181,4745208.0
2026-01-22,7.181,7.211,7.081,7.101,3880674.0
2026-01-23,7.101,7.121,7.001,7.041,3770134.0
2026-01-26,7.021,7.151,6.981,7.071,4550566.0
2026-01-27,7.071,7.201,7.041,7.061,4698081.0
2026-01-28,7.041,7.121,6.991,7.031,4564563.0
2026-01-29,7.021,7.131,6.991,7.091,4380996.0
2026-01-30,7.101,7.221,7.051,7.081,4607414.0
2026-02-02,7.091,7.221,7.081,7.151,5411791.0
2026-02-03,7.131,7.141,6.981,7.011,4492108.0
2026-02-04,7.011,7.121,7.001,7.071,3084844.0
2026-02-05,7.081,7.151,7.061,7.131,3101575.0
2026-02-06,7.141,7.181,7.051,7.091,2514601.0
2026-02-09,7.081,7.121,7.041,7.111,2032530.0
2026-02-10,7.111,7.171,7.091,7.131,1948048.0
2026-02-11,7.151,7.151,7.101,7.121,1388031.0
2026-02-12,7.121,7.131,7.001,7.011,3530837.0
2026-02-13,7.021,7.031,6.941,6.941,3173925.0
2026-02-24,6.961,6.981,6.881,6.891,2966280.0
2026-02-25,6.891,6.901,6.861,6.881,2192894.0
2026-02-26,6.891,6.901,6.761,6.791,3678153.0
2026-02-27,6.771,6.781,6.741,6.751,2439315.0
2026-03-02,6.731,6.821,6.681,6.791,3738087.0
2026-03-03,6.781,6.981,6.741,6.951,5707117.0
2026-03-04,6.931,6.951,6.841,6.911,3788681.0
2026-03-05,6.871,6.971,6.861,6.941,2642049.0
2026-03-06,6.941,7.011,6.901,6.941,2162797.0
2026-03-09,6.911,7.011,6.901,6.931,3340481.0
2026-03-10,6.911,6.921,6.851,6.871,2713752.0
2026-03-11,6.871,6.951,6.851,6.951,2376946.0
2026-03-12,6.951,7.001,6.921,6.991,2523397.0
2026-03-13,6.991,7.051,6.941,7.031,3033502.0
2026-03-16,7.031,7.131,7.011,7.081,3068283.0
2026-03-17,7.081,7.231,7.071,7.221,3644573.0
2026-03-18,7.221,7.291,7.161,7.221,3794730.0
2026-03-19,7.191,7.381,7.181,7.361,5606764.0
2026-03-20,7.361,7.441,7.311,7.331,3912454.0
2026-03-23,7.311,7.311,7.031,7.081,5023229.0
2026-03-24,7.091,7.221,7.081,7.151,3767729.0
2026-03-25,7.161,7.181,7.021,7.171,3375945.0
2026-03-26,7.141,7.271,7.131,7.251,2634708.0
2026-03-27,7.241,7.301,7.201,7.231,2790676.0
2026-03-30,7.201,7.411,7.191,7.401,3715876.0
2026-03-31,7.401,7.521,7.381,7.471,3914735.0
2026-04-01,7.431,7.541,7.371,7.411,3308704.0
2026-04-02,7.401,7.521,7.391,7.461,2757483.0
2026-04-03,7.451,7.471,7.311,7.331,2452990.0
2026-04-07,7.341,7.351,7.191,7.231,2415504.0
2026-04-08,7.201,7.211,7.031,7.151,4532728.0
2026-04-09,7.151,7.181,7.091,7.161,2530525.0
2026-04-10,7.141,7.171,7.111,7.141,1992449.0
2026-04-13,7.141,7.221,7.101,7.201,2292809.0
2026-04-14,7.181,7.311,7.161,7.291,2225027.0
2026-04-15,7.281,7.351,7.251,7.331,2239976.0
2026-04-16,7.331,7.371,7.261,7.291,2276142.0
2026-04-17,7.281,7.321,7.261,7.271,1621136.0
2026-04-20,7.271,7.401,7.251,7.401,2394024.0
2026-04-21,7.401,7.511,7.401,7.451,2489230.0
2026-04-22,7.451,7.471,7.321,7.351,2208445.0
2026-04-23,7.351,7.421,7.311,7.411,2332549.0
2026-04-24,7.411,7.441,7.331,7.411,2047534.0
2026-04-27,7.381,7.451,7.321,7.341,2149827.0
2026-04-28,7.321,7.371,7.301,7.361,1678945.0
2026-04-29,7.341,7.371,7.271,7.301,2671386.0
2026-04-30,7.291,7.341,7.251,7.281,3022371.0
2026-05-06,7.281,7.281,7.141,7.191,3826816.0
2026-05-07,7.191,7.291,7.151,7.221,3371548.0
2026-05-08,7.241,7.321,7.241,7.291,2436905.0
2026-05-11,7.291,7.321,7.231,7.301,2870900.0
2026-05-12,7.311,7.371,7.291,7.311,2793222.0
2026-05-13,7.34,7.34,7.22,7.23,3635366.0
2026-05-14,7.23,7.35,7.19,7.3,3615451.0
2026-05-15,7.29,7.34,7.23,7.24,2758049.0
2026-05-18,7.24,7.25,7.16,7.19,2343903.0
2026-05-19,7.19,7.3,7.18,7.26,2643584.0
2026-05-20,7.26,7.27,7.13,7.13,2727837.0
2026-05-21,7.13,7.2,7.08,7.15,2713869.0
2026-05-22,7.13,7.22,7.12,7.18,2315001.0
2026-05-25,7.17,7.23,7.15,7.17,1921661.0
2026-05-26,7.17,7.22,7.15,7.18,2148991.0
2026-05-27,7.18,7.23,7.11,7.12,2735622.0
2026-05-28,7.11,7.15,7.02,7.04,2780002.0
2026-05-29,7.03,7.22,6.99,7.22,3893594.0
2026-06-01,7.2,7.32,7.18,7.3,3411346.0
2026-06-02,7.3,7.41,7.29,7.34,3164271.0
2026-06-03,7.33,7.34,7.24,7.28,2444608.0
2026-06-04,7.3,7.34,7.22,7.23,2079564.0
2026-06-05,7.24,7.35,7.24,7.34,2789481.0
2026-06-08,7.38,7.53,7.31,7.5,5806646.0
2026-06-09,7.46,7.65,7.46,7.54,5397051.0
2026-06-10,7.57,7.71,7.54,7.69,4115244.0
2026-06-11,7.71,7.75,7.6,7.66,2855259.0
2026-06-12,7.59,7.78,7.52,7.78,4238547.0
2026-06-15,7.75,7.75,7.53,7.57,4507062.0
2026-06-16,7.53,7.54,7.38,7.42,3720567.0
2026-06-17,7.42,7.48,7.32,7.36,2933753.0
2026-06-18,7.34,7.35,7.15,7.16,4509667.0
2026-06-22,7.13,7.25,7.08,7.2,4265015.0
2026-06-23,7.21,7.41,7.21,7.38,5380893.0
2026-06-24,7.4,7.46,7.2,7.22,4162052.0
2026-06-25,7.14,7.31,7.13,7.19,3562880.0
2026-06-26,7.24,7.25,7.14,7.15,3523581.0
2026-06-29,7.12,7.27,7.05,7.22,4290054.0
2026-06-30,7.18,7.21,7.03,7.07,4721323.0
