trade_date,open,high,low,close,volume
2026-01-05,67.45,71.25,67.45,70.61,1228831.0
2026-01-06,70.65,73.13,70.65,72.57,1468516.0
2026-01-07,72.14,72.95,71.54,71.7,919695.0
2026-01-08,71.62,71.65,67.91,68.63,1685392.0
2026-01-09,68.85,69.53,66.49,67.25,2063348.0
2026-01-12,67.15,67.25,65.47,65.8,1851661.0
2026-01-13,66.05,68.23,66.03,66.45,1502151.0
2026-01-14,66.6,67.18,65.07,65.25,1431109.0
2026-01-15,65.15,66.63,64.94,65.66,1066614.0
2026-01-16,65.85,66.19,64.05,64.58,1356100.0
2026-01-19,64.53,65.2,64.16,64.55,838681.0
2026-01-20,64.6,66.02,64.36,64.85,988500.0
2026-01-21,64.89,65.43,63.9,64.1,935402.0
2026-01-22,64.38,64.83,62.77,63.05,1143922.0
2026-01-23,63.45,63.73,61.91,62.15,1407699.0
2026-01-26,62.25,64.5,62.02,62.39,2013846.0
2026-01-27,62.56,64.6,62.52,63.56,1508841.0
2026-01-28,64.12,64.3,62.68,63.0,1992854.0
2026-01-29,63.28,66.28,62.78,66.25,2755713.0
2026-01-30,66.26,66.94,64.64,65.0,1603228.0
2026-02-02,64.6,66.58,63.98,64.27,1354549.0
2026-02-03,65.15,65.65,63.87,64.83,1033225.0
2026-02-04,64.7,65.7,64.48,65.65,877403.0
2026-02-05,65.42,66.24,64.41,65.6,908191.0
2026-02-06,65.13,65.86,64.67,65.15,749275.0
2026-02-09,65.7,67.35,65.36,66.95,1021237.0
2026-02-10,66.96,67.05,66.05,66.44,548735.0
2026-02-11,66.5,66.93,65.31,65.75,618032.0
2026-02-12,65.85,65.93,64.6,64.79,646372.0
2026-02-13,64.4,64.6,63.31,63.54,840772.0
2026-02-24,64.02,64.5,62.62,62.75,800053.0
2026-02-25,62.95,63.99,62.95,63.3,683556.0
2026-02-26,63.75,63.78,61.54,61.75,1036146.0
2026-02-27,61.85,61.99,61.31,61.34,633012.0
2026-03-02,60.66,61.36,59.95,60.6,1010862.0
2026-03-03,60.7,61.97,60.18,60.82,1095535.0
2026-03-04,60.45,60.81,58.9,60.04,1008134.0
2026-03-05,60.26,60.97,60.05,60.33,546365.0
2026-03-06,60.04,61.6,59.91,60.92,574633.0
2026-03-09,59.69,59.77,58.26,59.65,930368.0
2026-03-10,60.11,60.63,59.97,60.34,462184.0
2026-03-11,60.34,61.16,60.05,60.8,517270.0
2026-03-12,60.4,60.68,59.47,59.85,668542.0
2026-03-13,59.62,60.12,59.33,59.45,458041.0
2026-03-16,59.45,59.61,58.35,58.73,818596.0
2026-03-17,58.84,61.05,58.83,60.09,901850.0
2026-03-18,60.12,60.57,59.75,60.14,490471.0
2026-03-19,59.45,59.54,58.65,58.87,684722.0
2026-03-20,59.05,59.15,57.95,57.99,620767.0
2026-03-23,57.15,57.25,55.49,55.72,1253823.0
2026-03-24,56.25,56.59,55.75,56.37,681870.0
2026-03-25,56.75,57.61,56.67,57.04,562389.0
2026-03-26,57.03,57.03,54.78,55.05,1011896.0
2026-03-27,55.11,55.64,54.67,55.2,834379.0
2026-03-30,54.59,54.8,54.09,54.58,737544.0
2026-03-31,54.54,55.94,54.46,55.03,764114.0
2026-04-01,55.83,56.54,55.79,56.43,684035.0
2026-04-02,56.25,56.25,55.41,55.51,459794.0
2026-04-03,55.83,56.02,55.49,55.5,343678.0
2026-04-07,55.55,55.8,54.66,54.94,503858.0
2026-04-08,56.25,57.9,56.25,57.7,1121527.0
2026-04-09,57.25,57.25,56.55,56.99,570201.0
2026-04-10,57.25,58.09,57.03,57.07,637912.0
2026-04-13,56.45,56.46,55.86,56.0,684544.0
2026-04-14,56.48,57.45,56.38,57.22,675142.0
2026-04-15,57.65,57.97,56.86,56.95,513713.0
2026-04-16,56.96,57.28,56.5,56.77,544368.0
2026-04-17,56.65,56.65,55.86,56.17,612324.0
2026-04-20,56.12,56.92,55.99,56.79,633437.0
2026-04-21,56.79,57.36,56.28,56.28,544020.0
2026-04-22,56.28,56.85,55.9,56.28,579570.0
2026-04-23,56.23,56.83,55.78,56.13,661174.0
2026-04-24,55.96,56.22,55.31,56.03,554002.0
2026-04-27,56.05,56.8,55.71,55.8,640671.0
2026-04-28,55.72,56.36,55.45,55.88,624602.0
2026-04-29,55.87,57.84,55.84,57.68,1609315.0
2026-04-30,57.37,58.85,57.37,57.62,1063010.0
2026-05-06,57.63,58.09,57.3,57.61,905083.0
2026-05-07,57.85,59.36,57.85,58.29,1313748.0
2026-05-08,58.15,58.51,57.99,58.31,732049.0
2026-05-11,58.03,58.8,57.51,58.35,961991.0
2026-05-12,58.35,58.75,57.5,57.65,690007.0
2026-05-13,57.57,57.87,55.88,56.29,1034345.0
2026-05-14,56.51,56.77,55.1,55.15,907187.0
2026-05-15,55.23,55.39,53.54,53.75,1181904.0
2026-05-18,53.65,53.71,52.65,53.14,810415.0
2026-05-19,53.26,53.46,52.37,52.73,839122.0
2026-05-20,52.65,52.65,52.08,52.36,743889.0
2026-05-21,52.7,53.58,51.93,52.01,1035931.0
2026-05-22,52.36,52.45,51.72,51.93,669699.0
2026-05-25,52.08,53.23,51.83,52.47,867977.0
2026-05-26,52.4,53.35,52.14,52.52,910010.0
2026-05-27,52.53,52.54,51.31,51.52,862011.0
2026-05-28,51.51,51.65,50.4,50.72,875600.0
2026-05-29,50.84,51.93,50.76,51.75,1000113.0
2026-06-01,51.74,52.35,51.4,52.1,775307.0
2026-06-02,52.11,52.8,51.87,52.33,784941.0
2026-06-03,52.31,52.45,51.75,51.95,625066.0
2026-06-04,51.86,52.33,51.29,51.48,576226.0
2026-06-05,51.55,52.83,51.49,51.73,937165.0
2026-06-08,51.31,52.21,51.15,51.63,720540.0
2026-06-09,51.43,52.3,51.4,52.18,710030.0
2026-06-10,52.25,53.48,52.1,53.22,903235.0
2026-06-11,53.22,53.97,52.35,52.64,647641.0
2026-06-12,52.46,54.24,52.11,54.01,1102953.0
2026-06-15,54.3,55.96,53.8,54.23,1010577.0
2026-06-16,53.99,54.09,52.75,52.99,812508.0
2026-06-17,53.24,53.34,52.5,52.76,653906.0
