trade_date,open,high,low,close,volume
2026-01-05,6.088,6.138,5.868,5.978,2223688.0
2026-01-06,5.988,6.108,5.898,6.068,1730764.0
2026-01-07,6.028,6.078,5.958,5.988,1422860.0
2026-01-08,6.008,6.018,5.908,5.958,1064911.0
2026-01-09,6.568,6.568,5.988,6.048,6893935.0
2026-01-12,5.988,5.988,5.788,5.858,4266770.0
2026-01-13,5.838,5.908,5.818,5.858,2505507.0
2026-01-14,5.858,5.908,5.818,5.858,2524278.0
2026-01-15,5.828,5.898,5.808,5.838,1868174.0
2026-01-16,5.818,5.838,5.708,5.728,2164191.0
2026-01-19,5.708,5.828,5.688,5.818,1942490.0
2026-01-20,5.808,5.938,5.788,5.898,2279661.0
2026-01-21,5.908,5.918,5.818,5.848,2046950.0
2026-01-22,5.868,6.108,5.858,6.098,4490461.0
2026-01-23,6.098,6.168,5.998,6.038,2584089.0
2026-01-26,6.068,6.358,6.058,6.268,4321975.0
2026-01-27,6.278,6.408,6.228,6.258,2629427.0
2026-01-28,6.318,6.468,6.238,6.288,4844599.0
2026-01-29,6.338,6.408,6.178,6.328,4415495.0
2026-01-30,6.338,6.478,6.248,6.398,3074110.0
2026-02-02,6.288,6.458,6.198,6.268,2874000.0
2026-02-03,6.258,6.278,6.118,6.188,2002080.0
2026-02-04,6.238,6.428,6.198,6.388,2446846.0
2026-02-05,6.398,6.458,6.198,6.288,2169579.0
2026-02-06,6.188,6.408,6.188,6.388,2210681.0
2026-02-09,6.388,6.468,6.338,6.388,1624289.0
2026-02-10,6.398,6.438,6.328,6.348,1640656.0
2026-02-11,6.358,6.438,6.288,6.428,1663085.0
2026-02-12,6.418,6.568,6.378,6.488,1861215.0
2026-02-13,6.418,6.438,6.228,6.258,2318888.0
2026-02-24,6.358,6.528,6.358,6.468,2375437.0
2026-02-25,6.458,6.588,6.388,6.408,2381663.0
2026-02-26,6.388,6.458,6.348,6.378,1354742.0
2026-02-27,6.388,6.418,6.318,6.348,1056623.0
2026-03-02,6.688,6.998,6.438,6.998,10885720.0
2026-03-03,7.038,7.708,7.038,7.708,15024382.0
2026-03-04,7.988,7.998,6.928,7.288,12338146.0
2026-03-05,7.138,7.188,6.748,6.918,7647160.0
2026-03-06,6.828,6.888,6.628,6.768,5751864.0
2026-03-09,7.338,7.338,6.828,6.888,10779224.0
2026-03-10,6.388,6.508,6.358,6.448,6425513.0
2026-03-11,6.388,6.428,6.288,6.398,4601433.0
2026-03-12,6.448,6.478,6.318,6.348,4909668.0
2026-03-13,6.378,6.398,6.198,6.218,4759634.0
2026-03-16,6.238,6.298,6.198,6.218,2864215.0
2026-03-17,6.188,6.188,6.098,6.138,3162492.0
2026-03-18,6.108,6.108,5.938,6.008,3138345.0
2026-03-19,6.098,6.178,6.068,6.168,4115497.0
2026-03-20,6.068,6.068,5.938,5.968,2897698.0
2026-03-23,5.968,5.998,5.818,5.928,3373414.0
2026-03-24,5.828,5.838,5.748,5.828,2569822.0
2026-03-25,5.758,5.808,5.678,5.808,2533932.0
2026-03-26,5.778,5.828,5.738,5.768,2200198.0
2026-03-27,5.758,5.798,5.728,5.788,1928072.0
2026-03-30,5.818,5.878,5.798,5.858,2073171.0
2026-03-31,5.848,5.898,5.768,5.768,1735746.0
2026-04-01,5.768,5.818,5.738,5.778,1687393.0
2026-04-02,5.768,5.848,5.758,5.838,2051261.0
2026-04-03,5.838,5.838,5.718,5.748,1584405.0
2026-04-07,5.738,5.808,5.678,5.798,1583034.0
2026-04-08,5.688,5.788,5.648,5.778,2263629.0
2026-04-09,5.778,5.828,5.708,5.728,1679238.0
2026-04-10,5.718,5.728,5.698,5.698,1297269.0
2026-04-13,5.738,5.748,5.658,5.718,1741050.0
2026-04-14,5.688,5.698,5.648,5.668,1350357.0
2026-04-15,5.648,5.658,5.568,5.578,1878195.0
2026-04-16,5.558,5.568,5.528,5.548,1496254.0
2026-04-17,5.558,5.558,5.448,5.448,2154576.0
2026-04-20,5.458,5.478,5.418,5.418,2352067.0
2026-04-21,5.418,5.428,5.378,5.388,1924090.0
2026-04-22,5.398,5.398,5.308,5.328,2416561.0
2026-04-23,5.328,5.378,5.288,5.338,3524466.0
2026-04-24,5.318,5.328,5.238,5.278,2351043.0
2026-04-27,5.268,5.298,5.218,5.228,2104441.0
2026-04-28,5.228,5.268,5.158,5.238,3426197.0
2026-04-29,5.288,5.388,5.238,5.308,7735192.0
