trade_date,open,high,low,close,volume
2026-01-05,21.39,21.61,21.32,21.49,327971.0
2026-01-06,21.48,21.79,21.38,21.78,369772.0
2026-01-07,21.85,22.27,21.78,22.02,420528.0
2026-01-08,22.01,22.46,21.91,22.3,405136.0
2026-01-09,22.3,22.38,22.06,22.15,311605.0
2026-01-12,22.14,22.19,21.96,22.04,274912.0
2026-01-13,22.04,22.21,21.9,21.92,229895.0
2026-01-14,21.97,22.16,21.67,21.75,316697.0
2026-01-15,21.79,22.06,21.79,21.93,258361.0
2026-01-16,21.99,22.05,21.45,21.54,343283.0
2026-01-19,21.48,21.77,21.39,21.7,273158.0
2026-01-20,21.7,23.04,21.69,22.98,1127023.0
2026-01-21,22.89,22.93,22.48,22.67,501261.0
2026-01-22,22.62,23.44,22.59,23.35,707834.0
2026-01-23,23.39,23.58,23.04,23.12,417300.0
2026-01-26,23.12,23.67,23.12,23.2,458748.0
2026-01-27,23.29,23.4,22.99,23.08,338388.0
2026-01-28,23.07,24.33,22.99,23.79,869060.0
2026-01-29,23.97,24.27,23.61,24.23,719198.0
2026-01-30,23.99,24.59,23.74,23.91,561043.0
2026-02-02,23.53,23.73,22.73,22.88,630451.0
2026-02-03,23.07,23.88,23.0,23.76,469734.0
2026-02-04,23.71,24.73,23.66,24.63,825529.0
2026-02-05,24.41,24.72,24.15,24.59,539049.0
2026-02-06,24.58,25.17,24.29,24.42,508430.0
2026-02-09,24.59,24.79,24.27,24.41,293252.0
2026-02-10,24.42,24.44,24.03,24.14,304823.0
2026-02-11,24.15,25.03,23.94,24.75,498217.0
2026-02-12,24.71,24.94,24.6,24.62,267304.0
2026-02-13,24.6,24.61,23.95,24.05,271885.0
2026-02-24,24.22,24.39,23.89,24.31,338865.0
2026-02-25,24.77,26.32,24.75,25.77,1029840.0
2026-02-26,25.65,25.78,24.86,25.0,481021.0
2026-02-27,24.84,25.39,24.61,24.95,382689.0
2026-03-02,24.65,25.78,24.54,25.46,536132.0
2026-03-03,25.42,25.56,24.47,24.63,391956.0
2026-03-04,24.4,25.0,24.34,24.46,353957.0
2026-03-05,24.59,24.77,24.11,24.19,334598.0
2026-03-06,24.09,24.77,23.99,24.73,273314.0
2026-03-09,24.35,24.48,23.63,23.98,438641.0
2026-03-10,24.06,24.27,23.86,24.11,301610.0
2026-03-11,24.15,24.88,24.05,24.85,338386.0
2026-03-12,24.84,24.91,24.31,24.89,274184.0
2026-03-13,24.94,25.36,24.71,24.73,309763.0
2026-03-16,24.65,25.04,24.2,24.39,324466.0
2026-03-17,24.38,24.99,24.25,24.46,294254.0
2026-03-18,24.39,24.68,23.81,24.27,324970.0
2026-03-19,24.14,24.15,23.44,23.5,268799.0
2026-03-20,23.59,23.69,23.03,23.03,247749.0
2026-03-23,22.49,22.69,22.01,22.1,369340.0
2026-03-24,22.39,22.62,22.15,22.59,242514.0
2026-03-25,22.6,22.78,22.3,22.73,306500.0
2026-03-26,22.66,22.87,22.15,22.32,355158.0
2026-03-27,22.12,22.46,22.05,22.43,211763.0
