trade_date,open,high,low,close,volume
2026-01-05,39.48,39.72,39.19,39.23,283836.0
2026-01-06,39.27,39.99,39.04,39.75,367008.0
2026-01-07,39.97,40.29,39.21,40.23,414322.0
2026-01-08,40.23,40.63,40.13,40.42,344926.0
2026-01-09,40.37,41.52,40.19,41.42,368140.0
2026-01-12,41.42,41.52,40.65,40.83,260950.0
2026-01-13,40.91,41.3,40.67,40.87,222889.0
2026-01-14,40.97,40.97,40.35,40.71,273423.0
2026-01-15,40.57,41.07,40.45,40.53,232559.0
2026-01-16,40.55,40.97,39.63,39.97,303871.0
2026-01-19,39.63,40.27,39.48,39.67,227742.0
2026-01-20,39.7,39.96,39.48,39.82,198199.0
2026-01-21,39.95,39.95,38.97,39.05,320677.0
2026-01-22,39.07,39.82,38.97,39.62,317150.0
2026-01-23,39.76,39.77,38.83,38.97,337432.0
2026-01-26,38.97,41.17,38.77,40.62,685746.0
2026-01-27,40.63,41.14,39.48,39.62,374792.0
2026-01-28,39.77,40.81,39.33,40.15,651930.0
2026-01-29,40.27,40.61,39.49,40.35,444644.0
2026-01-30,40.34,41.43,40.15,40.9,442671.0
2026-02-02,40.62,40.62,38.99,39.18,438352.0
2026-02-03,39.22,39.45,38.49,38.57,388603.0
2026-02-04,38.62,41.57,38.62,41.39,882483.0
2026-02-05,40.87,41.32,40.15,40.83,361014.0
2026-02-06,40.4,41.16,40.02,40.64,251804.0
2026-02-09,40.84,41.41,40.55,41.18,241415.0
2026-02-10,41.18,41.57,40.99,41.45,213252.0
2026-02-11,41.64,41.95,41.1,41.83,190880.0
2026-02-12,41.82,42.04,41.37,41.53,224671.0
2026-02-13,41.53,41.55,40.08,40.42,314720.0
2026-02-24,40.7,41.66,40.7,41.49,255000.0
2026-02-25,41.5,41.77,41.02,41.15,228811.0
2026-02-26,41.15,41.74,40.71,40.8,171434.0
2026-02-27,40.87,41.42,40.65,41.23,207992.0
2026-03-02,42.06,43.85,41.43,43.7,801407.0
2026-03-03,43.67,45.58,42.92,44.78,852497.0
2026-03-04,43.97,45.28,42.63,45.08,708649.0
2026-03-05,44.62,45.27,43.57,44.85,512237.0
2026-03-06,44.57,45.17,43.97,44.8,310826.0
2026-03-09,46.47,48.56,46.47,46.92,883473.0
2026-03-10,44.96,46.16,44.87,45.15,471321.0
2026-03-11,44.77,47.03,44.48,46.8,434295.0
2026-03-12,47.22,48.77,46.67,48.23,569225.0
2026-03-13,48.38,48.65,47.4,47.89,395521.0
2026-03-16,48.08,48.3,46.87,47.46,319344.0
2026-03-17,46.98,47.62,46.18,46.71,375142.0
2026-03-18,46.71,47.27,45.69,46.45,321139.0
2026-03-19,46.97,48.87,46.62,48.44,558452.0
2026-03-20,47.58,48.75,47.28,48.52,437423.0
2026-03-23,49.2,49.35,47.77,48.47,735948.0
2026-03-24,47.6,48.26,46.87,47.45,465628.0
2026-03-25,46.45,46.47,45.57,46.22,579111.0
2026-03-26,46.1,46.95,46.02,46.66,359226.0
2026-03-27,46.53,47.0,46.15,46.47,225465.0
2026-03-30,46.86,47.4,46.59,46.79,281265.0
2026-03-31,46.7,47.16,45.57,45.72,391121.0
2026-04-01,45.3,46.45,44.84,45.59,335887.0
2026-04-02,45.65,46.87,45.65,46.66,322374.0
2026-04-03,46.67,46.85,46.0,46.55,213241.0
2026-04-07,46.55,47.56,46.19,47.39,264360.0
2026-04-08,46.42,46.46,45.1,45.73,502729.0
2026-04-09,45.77,46.27,45.55,45.76,222418.0
2026-04-10,45.47,45.6,45.07,45.35,256774.0
2026-04-13,45.67,45.67,45.05,45.29,232870.0
2026-04-14,45.08,45.19,44.39,44.63,301577.0
2026-04-15,44.18,44.98,43.97,44.8,282062.0
2026-04-16,44.79,45.04,44.32,44.5,275144.0
2026-04-17,44.52,44.66,44.3,44.52,214783.0
2026-04-20,44.57,44.71,44.13,44.2,224465.0
2026-04-21,44.2,45.13,44.19,44.95,289871.0
2026-04-22,44.95,45.77,44.77,44.84,356676.0
2026-04-23,44.85,46.22,44.42,45.95,419952.0
2026-04-24,45.96,46.52,45.63,46.16,345475.0
2026-04-27,45.47,46.14,45.29,45.75,266005.0
2026-04-28,45.73,47.27,45.54,47.12,408840.0
2026-04-29,47.13,47.67,46.74,46.95,338646.0
2026-04-30,47.07,47.15,46.49,46.97,305251.0
2026-05-06,46.57,46.96,45.64,46.7,308231.0
2026-05-07,46.47,46.47,44.47,44.56,497080.0
2026-05-08,44.5,44.86,44.1,44.15,285197.0
2026-05-11,44.15,44.35,43.72,44.14,308770.0
2026-05-12,44.14,44.35,43.91,44.17,242518.0
2026-05-13,44.22,44.35,43.62,43.77,245975.0
2026-05-14,43.78,44.37,43.5,44.14,343917.0
2026-05-15,44.13,44.87,43.74,44.67,406673.0
2026-05-18,44.92,45.15,44.23,44.82,368307.0
2026-05-19,44.82,45.57,44.54,45.04,359079.0
2026-05-20,45.12,45.94,44.97,44.97,304957.0
2026-05-21,44.76,44.76,43.97,44.23,252644.0
2026-05-22,44.23,44.46,43.67,43.95,274673.0
2026-05-25,44.45,45.95,43.69,43.75,543124.0
2026-05-26,43.72,44.07,43.32,43.77,364563.0
2026-05-27,43.82,45.2,43.21,45.07,397446.0
2026-05-28,44.77,45.84,44.57,45.12,325109.0
2026-05-29,44.98,46.86,44.87,45.89,584495.0
2026-06-01,45.97,47.98,45.97,47.97,576751.0
2026-06-02,47.67,49.13,46.67,47.21,566863.0
2026-06-03,46.75,48.15,46.63,47.82,412752.0
2026-06-04,47.53,48.77,47.48,47.99,379687.0
2026-06-05,47.72,48.77,47.49,47.49,358227.0
2026-06-08,47.54,50.15,47.3,49.73,552636.0
2026-06-09,48.47,49.27,47.53,47.95,383146.0
2026-06-10,47.72,47.77,46.38,46.48,340919.0
2026-06-11,46.87,47.3,46.01,46.26,281183.0
2026-06-12,45.96,45.97,44.77,45.11,946837.0
2026-06-15,44.57,44.57,42.08,42.36,898193.0
2026-06-16,42.11,42.17,41.09,41.49,656871.0
2026-06-17,41.62,41.68,40.56,40.83,503545.0
2026-06-18,40.85,41.52,40.23,40.23,544116.0
2026-06-22,40.17,40.75,39.77,40.48,715589.0
2026-06-23,40.47,40.85,39.62,39.63,541233.0
2026-06-24,39.67,39.83,38.87,39.02,387443.0
2026-06-25,38.77,39.34,38.17,38.37,479018.0
2026-06-26,38.4,38.72,37.83,38.54,435101.0
2026-06-29,38.56,39.27,37.82,38.95,418684.0
2026-06-30,38.94,39.04,37.7,38.01,406936.0
