trade_date,open,high,low,close,volume
2026-01-05,103.322,105.612,103.122,105.322,222669.0
2026-01-06,105.342,105.852,104.342,105.592,186232.0
2026-01-07,105.602,105.762,104.822,104.942,123092.0
2026-01-08,104.802,104.802,104.082,104.322,129121.0
2026-01-09,104.472,105.972,104.302,104.562,160750.0
2026-01-12,104.572,106.272,104.552,105.972,233356.0
2026-01-13,106.412,106.642,105.242,105.422,197374.0
2026-01-14,105.302,106.262,104.102,104.462,225609.0
2026-01-15,104.122,104.642,103.442,103.512,162929.0
2026-01-16,103.672,103.832,102.472,102.582,198710.0
2026-01-19,102.412,102.802,101.762,101.972,182299.0
2026-01-20,101.922,102.892,101.722,102.332,172817.0
2026-01-21,102.042,102.122,100.422,100.472,262283.0
2026-01-22,100.492,101.142,100.032,100.182,186915.0
2026-01-23,100.222,101.132,100.122,100.412,214559.0
2026-01-26,100.382,100.922,98.482,99.762,312961.0
2026-01-27,99.542,99.752,98.442,98.442,225287.0
2026-01-28,98.452,99.272,98.052,98.122,266767.0
2026-01-29,98.122,108.192,97.922,108.192,986604.0
2026-01-30,108.192,108.202,102.422,102.422,668171.0
2026-02-02,102.502,108.182,102.502,104.712,531977.0
2026-02-03,104.502,106.202,104.022,104.702,331643.0
2026-02-04,103.922,106.832,103.702,105.942,378917.0
2026-02-05,105.322,107.972,105.082,106.312,372846.0
2026-02-06,106.322,107.152,104.232,104.422,276522.0
2026-02-09,104.222,105.112,103.892,104.782,208892.0
2026-02-10,104.602,104.602,103.212,103.922,185040.0
2026-02-11,103.732,104.072,103.272,103.462,114996.0
2026-02-12,103.322,103.532,101.822,102.042,181730.0
2026-02-13,102.122,104.302,101.592,103.482,241240.0
2026-02-24,105.602,106.612,102.422,102.582,210144.0
2026-02-25,102.422,103.532,102.292,102.592,161529.0
2026-02-26,102.422,102.752,101.022,101.302,192325.0
2026-02-27,101.302,101.972,101.302,101.472,119188.0
2026-03-02,100.422,102.022,99.762,100.642,204064.0
2026-03-03,100.432,101.802,99.322,99.972,230595.0
2026-03-04,99.422,99.432,98.172,98.442,183018.0
2026-03-05,99.042,99.392,98.572,98.872,100521.0
2026-03-06,98.762,99.912,98.472,99.822,112916.0
2026-03-09,98.742,100.022,98.692,98.942,177781.0
2026-03-10,99.302,99.812,99.182,99.472,111694.0
2026-03-11,99.472,99.772,99.012,99.602,107801.0
2026-03-12,99.422,100.152,99.022,99.692,116614.0
2026-03-13,99.482,101.082,99.272,100.372,153187.0
2026-03-16,100.222,102.732,100.122,101.962,203049.0
2026-03-17,101.962,103.242,101.422,102.212,177702.0
2026-03-18,102.212,102.412,100.822,101.142,117209.0
2026-03-19,100.432,100.832,99.932,99.952,114373.0
2026-03-20,99.952,100.602,99.322,99.822,102865.0
2026-03-23,98.822,99.202,97.462,97.652,205190.0
2026-03-24,98.302,98.882,97.462,98.762,117508.0
2026-03-25,98.772,100.002,98.302,99.872,108590.0
