timestamp,ret,equity,drawdown,benchmark_equity,active_ret
2026-01-05,0.0,1000000.0,0.0,1000000.0,0.0
2026-01-06,0.0,1000000.0,0.0,1013692.7267921821,-0.013692726792182057
2026-01-07,0.0,1000000.0,0.0,1007307.2140740125,0.006299258689934995
2026-01-08,0.0,1000000.0,0.0,1000793.5101034053,0.006466452219936672
2026-01-09,0.0,1000000.0,0.0,1003918.6124321162,-0.0031226244946252306
2026-01-12,0.0,1000000.0,0.0,1004712.7616109379,-0.0007910493629536189
2026-01-13,0.0,1000000.0,0.0,1004396.3509127509,0.0003149265245519487
2026-01-14,0.0,1000000.0,0.0,992212.1454796257,0.012130873854781257
2026-01-15,0.0,1000000.0,0.0,990763.023815087,0.0014604957933044358
2026-01-16,0.0,1000000.0,0.0,980199.3150157626,0.010662195242861631
2026-01-19,0.0,1000000.0,0.0,979616.22935357,0.0005948643844780122
2026-01-20,0.0,1000000.0,0.0,986250.1385175342,-0.006771946977993326
2026-01-21,0.0,1000000.0,0.0,979410.1607370329,0.006935337713394737
2026-01-22,0.0,1000000.0,0.0,976895.8827065814,0.002567134925943063
2026-01-23,0.0,1000000.0,0.0,973430.2024764612,0.003547645446634631
2026-01-26,0.0,1000000.0,0.0,977221.2719104867,-0.0038945467526905198
2026-01-27,0.0,1000000.0,0.0,973557.1377842785,0.003749543968731697
2026-01-28,0.0,1000000.0,0.0,974246.2338729174,-0.0007078126818597939
2026-01-29,0.0,1000000.0,0.0,995194.6540817227,-0.021502182385175157
2026-01-30,0.0,1000000.0,0.0,980388.3577609385,0.014877789244603761
2026-02-02,0.0018826482792990706,1001882.648279299,0.0,966129.4813290475,0.01642675859947484
2026-02-03,0.00265911225405846,1004546.7667064671,0.0,972186.8809207241,-0.003610647347256947
2026-02-04,0.006254232985644315,1010829.4362304251,0.0,992709.5537385162,-0.0148555692761962
2026-02-05,0.001321723919771589,1012165.4736751001,0.0,992212.3910349017,0.001822537779920444
2026-02-06,-0.0027042376036030547,1009428.3377401192,-0.0027042376036030863,988166.8481272631,0.001373057685381437
2026-02-09,0.0025283270175036066,1011980.5026786613,-0.00018274778309445634,998494.7704155362,-0.00792327061284206
2026-02-10,-0.0008519875976332747,1011118.3078413324,-0.0010345796818829953,996830.209209259,0.0008150829325252519
2026-02-11,0.0026479027088688323,1013795.6507476524,0.0,999915.5675804864,-0.000447266701852547
2026-02-12,-0.0041527027678105455,1009585.6587427984,-0.0041527027678104995,994537.9871176862,0.0012253317754583872
2026-02-13,-0.009815979335392577,999675.5867792703,-0.013927919258648265,981069.3545168611,0.0037266231345835146
2026-02-24,0.0007522992055033484,1000427.6419289655,-0.013186098015737512,981227.205046557,0.0005914028030531809
2026-02-25,-0.0028182092948501047,997608.2274496562,-0.015967146126596905,982091.4830295497,-0.003699022605516256
2026-02-26,-0.00900182262993432,988627.9351319913,-0.024825235339193327,967554.7850962696,0.005799953156204785
2026-02-27,-0.0005635453446646288,988070.7984615422,-0.02537479053805236,966648.1860124788,0.00037345491387943866
2026-03-02,0.01506314692367594,1002954.2540697623,-0.010693867812408544,972632.0303934318,0.00887284473562026
2026-03-03,-0.005050283892525931,997889.0503554934,-0.015690144636572652,975180.5588513684,-0.007670522974006385
2026-03-04,-0.006343709844726764,991558.7317628083,-0.021934320756303177,963058.9120599973,0.006086446480014536
2026-03-05,0.0028812313489801067,994415.6418651182,-0.01911628725990478,964886.1196799155,0.000983935558414442
2026-03-06,0.0036652463604895935,998060.4201772782,-0.015521106801720624,968992.7828628336,-0.0005908654221946676
2026-03-09,-0.004531913703239021,993537.2964824163,-0.019982680188355476,965615.9021565118,-0.001046974737703057
2026-03-10,0.0030740826545316846,996591.5122521633,-0.016970025944381847,968341.0214007485,0.0002519261033080921
2026-03-11,0.0005246923345436638,997114.4161793132,-0.016454237652368246,976483.555585163,-0.007884054175684515
2026-03-12,-0.003863457567546802,993262.1069424152,-0.020254124970938783,976912.3528272302,-0.004302581441794016
2026-03-13,-0.003746863490990626,989540.4894169283,-0.02392509902053385,974817.3166864451,-0.0016023147658956278
2026-03-16,-0.005841808571526164,983759.7833039802,-0.029627141743527253,976766.8761308595,-0.007841731440193657
2026-03-17,0.004194766368577074,987886.4257577424,-0.025556654312733077,981587.8549100765,-0.0007408829629335124
2026-03-18,-0.003560181491493286,984369.3707890622,-0.029025849476557647,977704.7417477329,0.00039576920911866837
2026-03-19,-0.013834385227301405,970751.22570761,-0.04245867992065072,969916.3939156099,-0.005868434465724324
2026-03-20,-0.005750917198631966,965168.5157880951,-0.0479654207666958,962312.3619559241,0.0020889667412486226
2026-03-23,-0.019661332593645553,946192.0165902701,-0.06668368926965319,934011.5971227266,0.00974779270915679
2026-03-24,0.006638507360257062,952473.3192566212,-0.06048786207142171,944219.6347306562,-0.004290733389403752
2026-03-25,0.00112376906319267,953543.6793063183,-0.05943206739632349,949589.4961977912,-0.004563320327473029
2026-03-26,-0.010125872385732815,943888.2176954404,-0.06895613825198084,939241.4809989698,0.0007714840406550291
2026-03-27,-0.0025824013735168405,941450.7194656173,-0.07136046719936336,946215.3397409078,-0.010007391520375185
2026-03-30,-0.002016634518652971,939552.1574471323,-0.07323319373659488,946098.6303583871,-0.0018932911552357247
2026-03-31,-0.0007998200643940523,938800.6847800614,-0.07397444042325874,945822.9246505444,-0.0005084067814698865
2026-04-01,-0.001723838595389493,937182.3439262594,-0.07557075902317426,956502.0855151258,-0.0130147056131529
2026-04-02,-0.006183033996564502,931387.7136327834,-0.08128653644755227,952330.6754497696,-0.0018219247752400101
2026-04-03,-0.005954349132824666,925841.9060077905,-0.08675687716257013,938648.7617463304,0.008412418688633436
2026-04-07,-0.0022499392754753433,923758.8179405826,-0.08881161873269977,934657.9889729065,0.0020016753178247835
2026-04-08,0.00889845515681631,931978.8443577406,-0.08070344978258061,951316.1332634435,-0.008924261266805702
2026-04-09,-0.005356231782088328,926986.9496513577,-0.08562741518201931,940723.7907868421,0.005778176755970308
2026-04-10,0.002009312256412654,928849.5558908267,-0.08379015514041685,947682.4728311986,-0.005387845243490728
2026-04-13,0.0025116745284821107,931182.5236611497,-0.08148893421033848,949150.4040010646,0.0009627051089248103
2026-04-14,0.000621319249989094,931761.0852883537,-0.0809182456038354,957672.3778045744,-0.00835720909239598
2026-04-15,-0.003194392491157716,928784.6746739557,-0.08385415345883857,958259.7807467794,-0.003807757725259557
2026-04-16,-0.00359564617179986,925445.0936140378,-0.08714828976476464,959879.8595649685,-0.005286292957503878
2026-04-17,-0.01974641505276087,907170.8706869939,-0.10517383851669218,950352.7814663667,-0.009821133254557957
2026-04-20,0.003196217867538209,910070.3864327939,-0.10231377915101858,951996.7862434488,0.0014663289156213771
2026-04-21,-0.005766576053558237,904822.3963353381,-0.10749035501577547,951115.1500542994,-0.004840484493282648
2026-04-22,-0.0012422069333851704,903698.4196811282,-0.10859903668488796,946542.2492063404,0.0035657291484845503
2026-04-23,0.005941764579627806,909067.9829418552,-0.10330254201481609,946062.3316605298,0.006448786369952497
2026-04-24,-0.0045270952809775,904952.5455661914,-0.10736197684532532,942531.022543379,-0.0007944563216049005
2026-04-27,-0.003072251433729578,902172.3038106185,-0.1101043852917638,941205.2891763989,-0.0016656840791584237
2026-04-28,0.0009692671211691817,903046.7497623316,-0.10924183873115442,948942.8754687154,-0.007251666591482721
2026-04-29,0.004118866022487566,906766.2783366456,-0.1055729252064506,959035.0260260976,-0.0065162847524179186
2026-04-30,0.000384360231127312,907114.8032329655,-0.1052291430092564,955275.4196621556,0.004304557368786057
2026-05-06,0.00042311759699886764,907498.6194687115,-0.10485054971438187,953224.9200500991,0.0025696185639991764
2026-05-07,-0.00013239109708651497,907378.4747308756,-0.10496905953216158,949653.8608631026,0.003613901212192321
2026-05-08,-0.00868456754389857,899498.2850791956,-0.11274201618853359,944621.4174998911,-0.003385327925541604
2026-05-11,0.00039527133637040635,899853.8309684017,-0.11239130853956715,951123.471521375,-0.006487966647681093
2026-05-12,-0.004518239946611713,895788.0754432087,-0.11640173758628347,948443.3727960357,-0.0017004157570221627
2026-05-13,-0.0037787459362829123,892403.1198933569,-0.11974063092968598,942098.0478644936,0.0029115058104670286
2026-05-14,-0.011898856189465068,881784.5435067159,-0.1302147105716829,932301.6882364606,-0.0015004059960494337
2026-05-15,-0.006132334706485887,876377.1455469269,-0.13554852508923504,921808.7062536735,0.005122586436728426
2026-05-18,-0.007058677698706162,870191.0817339991,-0.14165040943680124,910557.4195421628,0.00514698561861821
2026-05-19,-0.0019827015958931993,868465.752487513,-0.1433522605398452,911166.2190173636,-0.002651302457447847
2026-05-20,3.572759870529296e-05,868496.7806834071,-0.14332165457317805,904647.6728302424,0.0071897968026219065
2026-05-21,-0.012801183136930572,857378.9943400442,-0.15428815096242943,895671.1411444913,-0.00287850057735739
2026-05-22,-0.00809070137612311,850442.1969306782,-0.16113055298324128,892116.6738095254,-0.004122205382801296
2026-05-25,-0.012696100473999716,839644.8973511172,-0.1717809237671347,891810.1604693062,-0.012352520593455145
2026-05-26,0.001405285576700832,840824.8382149152,-0.1706170394449561,894045.3273588762,-0.0011010403081643345
2026-05-27,-0.004449614136062929,837083.4921288413,-0.17430747359045154,890122.5467892184,-6.193886992610694e-05
2026-05-28,-0.0031648155621283314,834434.2772661513,-0.17692063814756553,878969.3156185467,0.009365179561467648
2026-05-29,-0.005484447233336853,829857.8665027975,-0.1814347734764938,899165.0517044604,-0.028461058278856286
2026-06-01,-0.006231738879952542,824686.4089712775,-0.18653585822439747,896437.978978584,-0.0031988443955563266
2026-06-02,0.003229595645271255,827349.8126064055,-0.18390869797453477,896079.5575207478,0.0036294241512484734
2026-06-03,-0.002365658854824648,825392.5851961756,-0.18583929158951668,888563.6783288005,0.006021854428864179
2026-06-04,-0.008021953410117244,818771.3243326757,-0.19237045086073362,876422.4126774803,0.0056419695561640785
2026-06-05,0.0018949014763511851,820322.8153239476,-0.19084007243572487,879931.1740921545,-0.0021086034134370586
2026-06-08,-0.006055921901934602,815355.0044199707,-0.19574028176322913,874153.9659528023,0.0005096008451286171
2026-06-09,-0.00480712654687554,811435.4897330956,-0.19960646000534774,872722.7368516602,-0.0031698530723084104
2026-06-10,0.0022308237852370905,813245.6593237778,-0.19782092305877752,881646.8590413774,-0.007994786036630149
2026-06-11,-0.002180424865328656,811472.4382665677,-0.1995700142645865,877197.4938630019,0.002866227468025424
2026-06-12,0.008626196752670845,818472.3591784246,-0.19266534772089533,891439.6655764277,-0.007609795498864272
2026-06-15,-0.006745489383684133,812951.3625687476,-0.19811121504692436,886754.2392859893,-0.0014894676119708884
2026-06-16,-5.811187675575091e-05,812904.1204393576,-0.19815781430916737,876903.395984643,0.011050764590841571
2026-06-17,-0.009312829428713365,805333.6830238076,-0.20562523381325282,870597.8697392562,-0.0021221556620705396
2026-06-18,-0.012532769389421605,795240.6216929366,-0.21558094956664703,854051.9063200024,0.006472518808916493
2026-06-22,0.008748477245566821,802197.7661765676,-0.20871847735294177,871632.4654834514,-0.011836406452194873
2026-06-23,-0.004965554059345512,798214.4098023317,-0.21264762852980695,858678.5053321559,0.009896168816144933
2026-06-24,-0.013645259494302064,787322.5670484877,-0.22339125595197185,850585.4368548272,-0.0042202320514664535
2026-06-25,-0.0055613109542435035,782944.0214318378,-0.22771021866740748,850962.6087219258,-0.006004737153136679
2026-06-26,-0.01150790356457343,773933.9771367409,-0.23659765499488844,838094.5512719927,0.0036138624425837255
2026-06-29,0.003087140659822518,776323.2201855779,-0.23424092457581933,851611.9514398349,-0.01304158866710924
2026-06-30,-0.013324881158931379,765978.8055356861,-0.24444457325221974,841203.3014131048,-0.0011025890584833407
