trade_date,open,high,low,close,volume
2026-01-05,39.343,39.803,39.223,39.763,496729.0
2026-01-06,39.773,39.863,39.653,39.823,395447.0
2026-01-07,39.823,39.823,39.423,39.443,423632.0
2026-01-08,39.433,39.483,39.283,39.443,270930.0
2026-01-09,39.433,39.533,39.363,39.483,292909.0
2026-01-12,39.473,39.583,39.263,39.533,393084.0
2026-01-13,39.603,39.653,39.253,39.333,461470.0
2026-01-14,39.313,39.393,39.163,39.203,454446.0
2026-01-15,39.203,39.333,39.103,39.123,324847.0
2026-01-16,39.223,39.483,39.223,39.353,459310.0
2026-01-19,39.363,39.643,39.363,39.533,414366.0
2026-01-20,39.543,40.353,39.463,40.283,906361.0
2026-01-21,40.303,40.343,39.653,39.773,662525.0
2026-01-22,39.793,40.053,39.583,39.853,471743.0
2026-01-23,39.97,39.97,39.4,39.43,685535.0
2026-01-26,39.43,39.58,39.02,39.07,628567.0
2026-01-27,39.1,39.3,38.89,38.91,461231.0
2026-01-28,38.91,38.91,38.28,38.33,722084.0
2026-01-29,38.27,38.97,37.99,38.88,747272.0
2026-01-30,38.85,39.19,38.63,38.7,449104.0
2026-02-02,38.6,39.08,38.5,38.54,367220.0
2026-02-03,38.53,38.79,38.18,38.36,376331.0
2026-02-04,38.26,38.88,38.18,38.88,379664.0
2026-02-05,38.75,39.0,38.63,38.92,346115.0
2026-02-06,38.8,38.99,38.52,38.56,298606.0
2026-02-09,38.61,38.7,38.54,38.62,238335.0
2026-02-10,38.62,38.83,38.54,38.8,232275.0
2026-02-11,38.78,38.86,38.69,38.72,182239.0
2026-02-12,38.64,38.7,38.39,38.43,271633.0
2026-02-13,38.43,38.52,38.26,38.37,197194.0
2026-02-24,38.6,38.65,38.38,38.43,252061.0
2026-02-25,38.48,38.78,38.42,38.49,338465.0
2026-02-26,37.5,37.94,37.5,37.59,843414.0
2026-02-27,37.58,37.67,37.22,37.45,472218.0
2026-03-02,37.3,37.36,37.01,37.2,452751.0
2026-03-03,37.19,37.45,37.01,37.09,457098.0
2026-03-04,37.0,37.03,36.6,36.89,429859.0
2026-03-05,36.93,37.12,36.93,37.04,241403.0
2026-03-06,37.0,37.43,36.85,37.4,266635.0
2026-03-09,37.2,37.48,37.03,37.33,300943.0
2026-03-10,37.37,37.74,37.34,37.74,285654.0
2026-03-11,37.75,37.87,37.54,37.8,276145.0
2026-03-12,37.7,37.92,37.58,37.88,239997.0
2026-03-13,37.88,38.66,37.8,38.6,593264.0
2026-03-16,38.5,38.9,38.39,38.78,422740.0
2026-03-17,38.9,39.2,38.83,38.94,438065.0
2026-03-18,38.94,39.05,38.71,39.02,353550.0
2026-03-19,38.8,38.98,38.44,38.56,312052.0
2026-03-20,38.55,38.77,38.13,38.22,447600.0
2026-03-23,37.72,37.75,36.83,36.94,553679.0
2026-03-24,37.15,37.69,37.02,37.6,333400.0
2026-03-25,37.68,38.15,37.55,38.13,261142.0
2026-03-26,38.16,38.35,37.9,37.94,192844.0
2026-03-27,37.61,38.01,37.48,37.88,191947.0
2026-03-30,37.51,37.76,37.4,37.65,213032.0
2026-03-31,37.65,38.37,37.65,37.82,306434.0
2026-04-01,38.07,38.13,37.83,38.02,192769.0
2026-04-02,38.0,38.01,37.7,37.85,196462.0
2026-04-03,37.81,37.91,37.38,37.47,172135.0
2026-04-07,37.48,37.51,37.07,37.33,208341.0
2026-04-08,37.64,37.86,37.6,37.8,285021.0
2026-04-09,37.6,37.78,37.21,37.32,254752.0
2026-04-10,37.29,37.44,37.15,37.34,171312.0
2026-04-13,37.28,37.28,37.04,37.16,184075.0
2026-04-14,37.2,37.35,37.1,37.28,201059.0
2026-04-15,37.33,37.46,37.21,37.39,223352.0
2026-04-16,37.4,37.52,37.23,37.32,219375.0
2026-04-17,37.25,37.25,36.93,36.95,389504.0
2026-04-20,36.93,37.01,36.8,36.94,269786.0
2026-04-21,36.98,37.2,36.88,36.91,276517.0
2026-04-22,36.91,36.95,36.61,36.94,227739.0
2026-04-23,36.95,37.08,36.78,36.96,225089.0
2026-04-24,36.81,37.16,36.71,37.11,308383.0
2026-04-27,37.01,37.85,36.98,37.51,451724.0
2026-04-28,37.41,38.47,37.36,38.44,725043.0
2026-04-29,39.99,40.88,39.6,40.47,2007041.0
2026-04-30,40.49,40.86,40.05,40.05,764382.0
2026-05-06,40.0,40.15,39.51,39.95,617800.0
2026-05-07,39.9,40.27,39.75,39.89,437508.0
2026-05-08,39.85,40.19,39.77,39.91,387756.0
2026-05-11,39.85,40.7,39.6,40.46,679354.0
2026-05-12,40.45,40.85,40.22,40.34,464725.0
2026-05-13,40.29,40.56,40.08,40.3,337820.0
2026-05-14,40.25,40.59,40.12,40.22,373002.0
2026-05-15,40.09,40.68,39.92,40.28,489796.0
2026-05-18,40.24,40.6,39.61,39.71,402091.0
2026-05-19,39.7,39.9,39.45,39.56,400946.0
2026-05-20,39.56,39.72,39.16,39.51,342672.0
2026-05-21,39.51,39.6,38.82,38.86,362240.0
2026-05-22,38.9,38.99,38.42,38.74,386700.0
2026-05-25,38.74,39.12,38.4,38.63,325133.0
2026-05-26,38.6,39.0,38.47,38.88,336834.0
2026-05-27,38.8,39.08,38.24,38.61,384820.0
2026-05-28,38.4,38.49,37.8,37.88,376929.0
2026-05-29,38.0,39.38,38.0,39.17,694772.0
2026-06-01,38.9,39.29,38.63,39.09,486477.0
2026-06-02,39.09,39.73,39.0,39.52,462828.0
2026-06-03,39.52,39.68,39.33,39.5,298355.0
2026-06-04,39.5,39.86,38.8,38.88,390448.0
2026-06-05,38.7,39.27,38.42,38.46,367641.0
2026-06-08,38.21,38.59,37.93,38.11,342635.0
2026-06-09,38.02,38.08,37.59,37.88,397146.0
2026-06-10,37.86,38.39,37.62,38.2,347450.0
2026-06-11,38.13,38.65,37.99,38.5,384456.0
2026-06-12,38.35,38.63,38.1,38.53,461327.0
2026-06-15,38.53,38.54,37.65,37.86,659123.0
2026-06-16,37.82,37.82,37.27,37.29,471443.0
2026-06-17,37.33,37.4,37.02,37.15,365021.0
2026-06-18,37.1,37.29,36.64,36.72,551841.0
2026-06-22,36.73,37.36,36.27,36.99,509442.0
2026-06-23,37.2,37.64,36.95,37.28,466967.0
2026-06-24,37.0,37.28,36.7,37.11,347526.0
