trade_date,open,high,low,close,volume
2026-01-05,7.52,7.55,7.41,7.44,3184016.0
2026-01-06,7.44,7.45,7.37,7.43,2343854.0
2026-01-07,7.41,7.41,7.33,7.36,2349234.0
2026-01-08,7.34,7.35,7.23,7.31,2827238.0
2026-01-09,7.29,7.32,7.25,7.28,2230874.0
2026-01-12,7.25,7.4,7.2,7.39,3439981.0
2026-01-13,7.37,7.57,7.37,7.48,4883196.0
2026-01-14,7.45,7.46,7.32,7.35,3895492.0
2026-01-15,7.31,7.32,7.2,7.2,3637995.0
2026-01-16,7.2,7.23,7.07,7.08,3723238.0
2026-01-19,7.04,7.1,6.96,6.97,3199902.0
2026-01-20,6.96,7.06,6.93,7.04,3784822.0
2026-01-21,7.05,7.09,6.8,6.83,5537616.0
2026-01-22,6.77,6.8,6.66,6.68,4765066.0
2026-01-23,6.67,6.73,6.6,6.62,3959741.0
2026-01-26,6.62,6.78,6.59,6.71,6334305.0
2026-01-27,6.75,6.96,6.7,6.76,6850792.0
2026-01-28,6.72,6.78,6.62,6.67,5245906.0
2026-01-29,6.63,6.69,6.54,6.65,5297441.0
2026-01-30,6.65,6.74,6.58,6.59,4111691.0
2026-02-02,6.6,6.73,6.6,6.65,4917243.0
2026-02-03,6.62,6.63,6.51,6.53,4472284.0
2026-02-04,6.51,6.59,6.49,6.54,3065589.0
2026-02-05,6.54,6.59,6.52,6.57,3341275.0
2026-02-06,6.57,6.62,6.49,6.54,3360799.0
2026-02-09,6.5,6.58,6.47,6.58,2931675.0
2026-02-10,6.58,6.68,6.56,6.6,3580411.0
2026-02-11,6.6,6.68,6.54,6.66,3077491.0
2026-02-12,6.66,6.66,6.48,6.48,4449161.0
2026-02-13,6.5,6.53,6.38,6.38,3323514.0
2026-02-24,6.39,6.41,6.32,6.35,2288123.0
2026-02-25,6.36,6.4,6.34,6.38,2422514.0
2026-02-26,6.37,6.4,6.27,6.29,2881046.0
2026-02-27,6.29,6.31,6.25,6.27,2129743.0
2026-03-02,6.26,6.41,6.2,6.35,4232983.0
2026-03-03,6.33,6.61,6.29,6.6,8484194.0
2026-03-04,6.59,6.6,6.4,6.55,5888190.0
2026-03-05,6.43,6.62,6.42,6.61,4395428.0
2026-03-06,6.59,6.7,6.55,6.57,3120481.0
2026-03-09,6.55,6.69,6.51,6.53,4113419.0
2026-03-10,6.47,6.49,6.4,6.45,3262394.0
2026-03-11,6.43,6.51,6.41,6.5,2502133.0
2026-03-12,6.5,6.53,6.45,6.51,2108553.0
2026-03-13,6.51,6.56,6.45,6.49,2846114.0
2026-03-16,6.47,6.54,6.45,6.52,2416263.0
2026-03-17,6.51,6.65,6.5,6.63,4153763.0
2026-03-18,6.64,6.75,6.57,6.61,5361041.0
2026-03-19,6.59,6.71,6.58,6.7,4846444.0
2026-03-20,6.67,6.73,6.61,6.63,3689291.0
2026-03-23,6.61,6.62,6.29,6.34,5487576.0
2026-03-24,6.34,6.42,6.3,6.37,2735593.0
2026-03-25,6.37,6.42,6.27,6.42,3381620.0
2026-03-26,6.4,6.46,6.38,6.38,2248269.0
2026-03-27,6.36,6.38,6.32,6.35,2061819.0
2026-03-30,6.32,6.38,6.29,6.36,1975473.0
2026-03-31,6.38,6.62,6.38,6.57,5836425.0
2026-04-01,6.56,6.65,6.53,6.56,3316883.0
2026-04-02,6.59,6.8,6.57,6.79,5626313.0
