trade_date,open,high,low,close,volume
2026-01-05,10.16,10.16,9.65,9.82,3084016.0
2026-01-06,9.8,10.05,9.72,10.02,1883382.0
2026-01-07,9.9,9.92,9.58,9.65,2318852.0
2026-01-08,9.64,9.65,9.55,9.55,1214572.0
2026-01-09,9.73,9.79,9.48,9.62,2075921.0
2026-01-12,9.6,9.67,9.53,9.61,1441895.0
2026-01-13,9.63,9.92,9.63,9.83,2059373.0
2026-01-14,9.89,9.97,9.57,9.6,3489625.0
2026-01-15,9.59,9.88,9.55,9.72,1934497.0
2026-01-16,9.65,9.74,9.46,9.55,2006821.0
2026-01-19,9.47,9.68,9.47,9.57,1076571.0
2026-01-20,9.57,9.72,9.57,9.67,1255945.0
2026-01-21,9.71,9.81,9.66,9.75,1553955.0
2026-01-22,9.83,10.23,9.83,9.9,3005582.0
2026-01-23,9.92,10.0,9.56,9.58,2684017.0
2026-01-26,9.65,10.24,9.64,10.14,4385854.0
2026-01-27,10.14,10.44,10.06,10.19,2872682.0
2026-01-28,10.35,10.83,10.28,10.52,4947940.0
2026-01-29,10.65,10.75,10.28,10.64,4224740.0
2026-01-30,10.68,10.9,10.49,10.77,4213905.0
2026-02-02,10.45,10.72,10.34,10.43,3236793.0
2026-02-03,10.4,10.43,10.08,10.22,2326550.0
2026-02-04,10.43,10.45,10.21,10.31,1815633.0
2026-02-05,10.36,10.39,10.06,10.28,1622496.0
2026-02-06,10.05,10.55,10.05,10.52,1985020.0
2026-02-09,10.44,10.53,10.4,10.5,1236788.0
2026-02-10,10.54,10.67,10.48,10.51,1106629.0
2026-02-11,10.52,10.63,10.39,10.6,1149357.0
2026-02-12,10.64,10.87,10.57,10.79,1626432.0
2026-02-13,10.55,10.55,10.2,10.29,2604602.0
2026-02-24,10.65,11.0,10.65,10.84,3251988.0
2026-02-25,10.89,11.04,10.68,10.74,2503621.0
2026-02-26,10.67,10.81,10.53,10.64,1352842.0
2026-02-27,10.63,10.71,10.55,10.61,1613761.0
2026-03-02,11.55,11.7,11.08,11.7,8752375.0
2026-03-03,12.06,12.9,12.05,12.9,9174676.0
2026-03-04,13.44,13.44,11.59,12.99,10747173.0
2026-03-05,12.4,12.93,12.03,12.44,7067136.0
2026-03-06,12.13,12.4,11.82,12.05,5103918.0
2026-03-09,13.23,13.23,12.66,12.67,8174453.0
2026-03-10,11.93,12.05,11.53,11.74,5243629.0
2026-03-11,11.53,11.91,11.4,11.88,4740546.0
2026-03-12,12.08,12.14,11.7,11.98,4035318.0
2026-03-13,12.07,12.14,11.71,11.8,3448139.0
2026-03-16,11.84,12.01,11.71,11.74,2527809.0
2026-03-17,11.62,11.87,11.55,11.77,2798838.0
2026-03-18,11.62,11.68,11.36,11.61,2159857.0
2026-03-19,11.85,12.27,11.82,12.23,5434174.0
2026-03-20,11.75,12.1,11.65,11.99,3064078.0
2026-03-23,12.0,12.21,11.57,12.09,4189739.0
2026-03-24,11.75,11.85,11.58,11.74,3225913.0
2026-03-25,11.37,11.48,11.14,11.45,2802176.0
2026-03-26,11.45,11.78,11.43,11.69,2738893.0
2026-03-27,11.69,11.85,11.58,11.82,2183201.0
2026-03-30,12.1,12.29,11.98,12.19,2888202.0
2026-03-31,12.19,12.37,11.92,11.94,2342004.0
2026-04-01,11.76,12.19,11.76,11.82,2527357.0
2026-04-02,11.95,12.14,11.9,12.1,2587901.0
2026-04-03,12.1,12.17,11.89,12.08,1634103.0
2026-04-07,12.05,12.43,11.9,12.31,1782161.0
2026-04-08,11.5,11.82,11.36,11.73,3574919.0
2026-04-09,11.77,11.97,11.76,11.85,1871447.0
2026-04-10,11.77,11.82,11.69,11.74,1574714.0
2026-04-13,11.9,11.94,11.66,11.84,1811090.0
2026-04-14,11.71,11.74,11.62,11.68,1416086.0
2026-04-15,11.52,11.55,11.39,11.51,1643167.0
2026-04-16,11.43,11.52,11.31,11.4,1536490.0
2026-04-17,11.41,11.45,11.23,11.28,1329297.0
2026-04-20,11.23,11.28,11.05,11.23,1457195.0
2026-04-21,11.19,11.3,11.16,11.22,1139478.0
2026-04-22,11.24,11.26,11.12,11.2,1229405.0
2026-04-23,11.21,11.58,11.16,11.57,2564992.0
2026-04-24,11.46,11.76,11.45,11.68,1945605.0
2026-04-27,11.63,11.8,11.57,11.71,1821517.0
2026-04-28,11.67,11.94,11.62,11.93,1816653.0
2026-04-29,11.95,12.11,11.9,12.0,1729879.0
2026-04-30,12.0,12.09,11.88,11.97,1607274.0
2026-05-06,11.74,11.75,11.58,11.64,1754401.0
2026-05-07,11.4,11.48,10.98,11.02,2697784.0
2026-05-08,11.08,11.09,10.78,10.87,1799663.0
2026-05-11,10.96,10.99,10.77,10.86,1740186.0
2026-05-12,10.88,11.05,10.84,10.94,2164022.0
2026-05-13,11.02,11.05,10.79,10.87,1683272.0
2026-05-14,10.86,11.07,10.82,11.0,2022432.0
2026-05-15,10.96,11.35,10.94,11.26,2336426.0
2026-05-18,11.35,11.5,11.18,11.29,1549238.0
2026-05-19,11.22,11.34,11.13,11.31,1283852.0
2026-05-20,11.32,11.5,11.32,11.38,1230242.0
2026-05-21,11.12,11.23,10.92,11.04,2095413.0
2026-05-22,11.03,11.06,10.76,10.83,1457316.0
2026-05-25,10.53,10.73,10.45,10.48,1536803.0
2026-05-26,10.48,10.74,10.46,10.71,1614188.0
2026-05-27,10.65,10.68,10.36,10.55,1808211.0
2026-05-28,10.51,10.71,10.48,10.55,1476741.0
2026-05-29,10.55,10.69,10.41,10.62,1896970.0
2026-06-01,10.6,10.74,10.48,10.57,1968312.0
2026-06-02,10.63,10.83,10.33,10.41,2353928.0
2026-06-03,10.45,10.62,10.19,10.6,2299809.0
2026-06-04,10.44,10.51,10.3,10.4,1349655.0
2026-06-05,10.35,10.55,10.3,10.36,1371556.0
2026-06-08,10.34,10.74,10.26,10.7,2625498.0
2026-06-09,10.47,10.61,10.05,10.09,2410790.0
2026-06-10,10.09,10.09,9.89,9.99,1389160.0
2026-06-11,10.13,10.2,9.96,10.12,1855876.0
2026-06-12,9.9,10.31,9.9,10.13,2866761.0
2026-06-15,10.02,10.1,9.83,9.88,2156630.0
2026-06-16,9.85,9.92,9.7,9.7,1660936.0
2026-06-17,9.66,9.68,9.48,9.52,1401834.0
2026-06-18,9.54,9.55,9.31,9.33,1282272.0
2026-06-22,9.34,9.52,9.26,9.43,1514545.0
2026-06-23,9.43,9.58,9.14,9.16,1500455.0
2026-06-24,9.16,9.28,9.06,9.16,1373454.0
2026-06-25,9.0,9.05,8.77,8.81,1890052.0
2026-06-26,8.96,9.0,8.76,8.93,1971272.0
2026-06-29,8.93,9.05,8.74,8.92,1648705.0
2026-06-30,8.89,8.92,8.65,8.68,1738388.0
