trade_date,open,high,low,close,volume
2026-01-05,32.5,32.51,32.26,32.44,117436.0
2026-01-06,32.45,32.73,32.26,32.71,121013.0
2026-01-07,32.75,32.8,32.5,32.55,113543.0
2026-01-08,32.56,32.75,32.42,32.57,100056.0
2026-01-09,32.63,32.77,32.36,32.43,115669.0
2026-01-12,32.32,32.48,32.16,32.28,140754.0
2026-01-13,32.49,32.93,32.22,32.27,206797.0
2026-01-14,32.26,32.42,31.55,31.59,285915.0
2026-01-15,31.56,31.94,31.46,31.55,123350.0
2026-01-16,31.62,31.68,31.03,31.13,192590.0
2026-01-19,31.13,31.64,31.11,31.46,135771.0
2026-01-20,31.46,32.19,31.41,32.11,206947.0
2026-01-21,32.11,32.11,31.62,31.7,134099.0
2026-01-22,31.72,32.03,31.37,31.39,209704.0
2026-01-23,31.44,31.61,31.04,31.09,304273.0
2026-01-26,31.14,31.3,30.77,30.79,309900.0
2026-01-27,30.78,30.88,30.59,30.68,183687.0
2026-01-28,30.64,30.73,30.32,30.34,268234.0
2026-01-29,30.31,30.82,30.11,30.69,196826.0
2026-01-30,30.69,30.82,30.35,30.54,140727.0
2026-02-02,30.44,30.81,30.24,30.25,164466.0
2026-02-03,30.36,30.49,29.93,30.28,180741.0
2026-02-04,30.17,30.94,30.11,30.93,301050.0
2026-02-05,30.92,31.12,30.7,30.98,183104.0
2026-02-06,30.79,30.98,30.62,30.68,147713.0
2026-02-09,30.76,31.05,30.65,31.0,124988.0
2026-02-10,30.99,31.07,30.81,31.04,91439.0
2026-02-11,31.08,31.09,30.86,30.99,76255.0
2026-02-12,30.94,30.97,30.73,30.76,96374.0
2026-02-13,30.76,30.84,30.47,30.49,92659.0
2026-02-24,30.64,30.71,30.43,30.47,102677.0
2026-02-25,30.45,30.61,30.34,30.36,114631.0
2026-02-26,30.37,30.43,30.23,30.23,113042.0
2026-02-27,30.23,30.3,30.18,30.25,67120.0
2026-03-02,29.9,29.92,29.64,29.7,183559.0
2026-03-03,29.71,29.92,29.64,29.66,122516.0
2026-03-04,29.52,29.52,29.04,29.07,139194.0
2026-03-05,29.23,29.36,29.1,29.12,79213.0
2026-03-06,29.23,29.44,29.08,29.43,84274.0
2026-03-09,29.11,29.12,28.76,28.87,123958.0
2026-03-10,29.05,29.18,29.04,29.14,77028.0
2026-03-11,29.14,29.21,29.01,29.07,77780.0
2026-03-12,29.07,29.15,28.95,29.11,61652.0
2026-03-13,29.0,29.18,28.91,29.01,77603.0
2026-03-16,29.01,29.16,28.91,29.13,74888.0
2026-03-17,29.18,29.53,29.17,29.23,92284.0
2026-03-18,29.21,29.22,28.96,29.07,68081.0
2026-03-19,28.85,28.94,28.78,28.82,79439.0
2026-03-20,28.83,28.89,28.24,28.38,125249.0
2026-03-23,28.06,28.06,26.94,27.11,195245.0
2026-03-24,27.3,27.39,27.02,27.34,84269.0
2026-03-25,27.42,27.73,27.36,27.72,76418.0
2026-03-26,27.72,27.92,27.31,27.33,68388.0
2026-03-27,27.15,27.5,27.12,27.44,67275.0
2026-03-30,27.16,27.51,27.03,27.47,66562.0
2026-03-31,27.44,27.78,27.34,27.36,72659.0
2026-04-01,27.64,27.86,27.5,27.86,70366.0
2026-04-02,27.75,27.86,27.49,27.62,60958.0
2026-04-03,27.62,27.62,27.35,27.43,38083.0
2026-04-07,27.43,27.51,27.21,27.24,41602.0
2026-04-08,27.74,28.02,27.68,27.83,105687.0
2026-04-09,27.64,27.65,27.36,27.5,69447.0
2026-04-10,27.55,27.62,27.33,27.36,99751.0
2026-04-13,27.14,27.18,26.96,27.04,99733.0
