date,value,holdings
2024-02-01,1000000.0,20
2024-03-01,1093796.43,20
2024-04-01,1019707.66,20
2024-05-06,1027491.19,20
2024-06-03,908361.35,20
2024-07-01,851807.38,20
2024-08-01,856448.2,20
2024-09-02,789994.58,20
2024-10-08,973640.26,19
2024-11-01,1129291.26,20
2024-12-02,1153062.7,20
